start_token_n_1based,segment_size_c,layer_idx,unique_expert_count_mean,count,std,min,max
-1,2,0,15.238932291666666,15360,1.2053097388145118,8,16
-1,2,1,14.067057291666666,15360,1.5220011386177537,8,16
-1,2,2,13.79765625,15360,1.7292314094230203,8,16
-1,2,3,13.178190104166667,15360,1.7285945663295872,8,16
-1,2,4,13.042643229166666,15360,1.9007379578690997,8,16
-1,2,5,12.8232421875,15360,1.8748718304013436,8,16
-1,2,6,11.818619791666666,15360,1.8666508403278923,8,16
-1,2,7,11.530794270833333,15360,1.6887781864794518,8,16
-1,2,8,12.019856770833334,15360,1.6034938025518883,8,16
-1,2,9,11.980143229166666,15360,1.6296328068479204,8,16
-1,2,10,12.4607421875,15360,1.7917551684593829,8,16
-1,2,11,12.554427083333334,15360,1.7060975536139906,8,16
-1,2,12,12.3787109375,15360,1.7422647864611416,8,16
-1,2,13,13.027864583333333,15360,1.705478737011823,8,16
-1,2,14,12.344401041666666,15360,1.6101628555784913,8,16
-1,2,15,11.979296875,15360,1.6318780606111765,8,16
-1,2,16,12.370963541666667,15360,1.5036091688200182,8,16
-1,2,17,12.866276041666667,15360,1.6269615163270852,8,16
-1,2,18,11.307877604166666,15360,1.726856429411842,8,16
-1,2,19,11.217057291666666,15360,1.5968899022246383,8,16
-1,2,20,11.6873046875,15360,1.6070666511309728,8,16
-1,2,21,11.853255208333334,15360,1.636933680527059,8,16
-1,2,22,12.353255208333334,15360,1.7632376235464897,8,16
-1,2,23,12.5494140625,15360,1.7510331928422214,8,16
-1,2,24,12.39609375,15360,1.8431595605116602,8,16
-1,2,25,13.050716145833333,15360,1.8533986098039146,8,16
-1,2,26,12.418229166666666,15360,1.6663816031147407,8,16
-1,2,27,11.993489583333334,15360,1.7122468020591386,8,16
-1,2,28,12.3326171875,15360,1.6001346627087902,8,16
-1,2,29,12.763151041666667,15360,1.7078491483239342,8,16
-1,2,30,11.056510416666667,15360,1.6061715436692239,8,16
-1,2,31,10.928580729166667,15360,1.5666010201779756,8,16
-1,2,32,11.519661458333333,15360,1.5967621023527812,8,16
-1,2,33,11.69140625,15360,1.6355813495511065,8,16
-1,2,34,12.390299479166666,15360,1.7861654584291653,8,16
-1,2,35,12.654622395833334,15360,1.7975316359980793,8,16
-1,2,36,12.510091145833334,15360,1.787828353484911,8,16
-1,2,37,13.3578125,15360,1.828571102484376,8,16
-1,2,38,12.750390625,15360,1.7122401228926079,8,16
-1,2,39,12.301692708333333,15360,1.7592584512144191,8,16
-1,2,40,12.679752604166667,15360,1.7575875721642347,8,16
-1,2,41,13.138932291666666,15360,1.8800808450585866,8,16
-1,2,42,13.168619791666666,15360,1.9168752572806997,8,16
-1,2,43,12.373763020833334,15360,1.7994947330252302,8,16
-1,2,44,12.459114583333333,15360,1.715949772727389,8,16
-1,2,45,12.332747395833334,15360,1.8755875101843846,8,16
-1,2,46,12.990690104166667,15360,2.1124650390573074,8,16
-1,2,47,14.053580729166667,15360,2.0870580069598867,8,16
-1,4,0,27.560416666666665,7680,2.649955505985804,10,32
-1,4,1,24.401302083333334,7680,2.9553958716766804,13,32
-1,4,2,23.150260416666665,7680,3.048221201143588,13,32
-1,4,3,21.821484375,7680,3.054146406432852,11,31
-1,4,4,21.008333333333333,7680,3.0440501415143353,11,31
-1,4,5,20.50625,7680,3.1586042535964216,9,30
-1,4,6,17.203515625,7680,2.975196003465042,8,28
-1,4,7,16.505859375,7680,2.685438839202911,9,27
-1,4,8,18.111588541666666,7680,2.7412000013784454,9,28
-1,4,9,17.948177083333334,7680,2.7389188711569856,10,29
-1,4,10,19.275130208333334,7680,3.0229759984488327,8,29
-1,4,11,19.584375,7680,2.8696408347806703,10,30
-1,4,12,19.029036458333334,7680,2.8467504513993243,11,29
-1,4,13,20.896744791666666,7680,2.998222302221294,10,31
-1,4,14,18.857552083333335,7680,2.8119922986169454,10,29
-1,4,15,17.775130208333334,7680,2.758657302378575,10,28
-1,4,16,19.0984375,7680,2.6408883138214865,9,29
-1,4,17,20.352734375,7680,2.8603254121669606,11,29
-1,4,18,15.648307291666667,7680,2.8868282897544946,9,27
-1,4,19,15.45234375,7680,2.542785535086468,9,25
-1,4,20,16.898697916666666,7680,2.75536359064016,9,27
-1,4,21,17.270963541666667,7680,2.7672466414197197,9,28
-1,4,22,18.683723958333335,7680,3.030400414047798,8,28
-1,4,23,19.330989583333334,7680,2.975364939006934,10,30
-1,4,24,18.7375,7680,2.942890900093008,9,30
-1,4,25,20.78046875,7680,3.1351854780592414,10,31
-1,4,26,18.904427083333335,7680,2.8167048037000995,8,29
-1,4,27,17.786197916666666,7680,2.9716053684561747,8,29
-1,4,28,19.054557291666665,7680,2.838679054631579,9,29
-1,4,29,20.159114583333334,7680,3.1174759554401303,10,30
-1,4,30,15.214583333333334,7680,2.810097661863447,8,27
-1,4,31,14.938541666666667,7680,2.7283817828231243,8,26
-1,4,32,16.715625,7680,2.8902962383391504,9,28
-1,4,33,17.120442708333332,7680,2.9182013758581,8,30
-1,4,34,19.047135416666666,7680,3.1115255036158516,10,30
-1,4,35,19.848958333333332,7680,3.1562346015203246,10,29
-1,4,36,19.378125,7680,3.0484203958368123,10,31
-1,4,37,21.934635416666666,7680,3.399347795606538,10,31
-1,4,38,20.045963541666666,7680,3.0614825594181467,10,30
-1,4,39,18.763151041666667,7680,3.074500812717554,9,31
-1,4,40,19.996614583333333,7680,3.100477217513578,8,31
-1,4,41,21.194921875,7680,3.2046408339280585,9,32
-1,4,42,21.081770833333334,7680,3.195350996806797,9,32
-1,4,43,18.762109375,7680,2.908698215084609,10,28
-1,4,44,18.916927083333334,7680,2.7764520451469576,10,30
-1,4,45,18.525911458333333,7680,3.0390273789144797,9,30
-1,4,46,20.224609375,7680,3.2945741980990766,9,31
-1,4,47,23.288671875,7680,3.5884270590410003,9,32
-1,6,0,37.44274509803922,5100,3.80326862571994,21,47
