algorithm,cache_ratio,step,iso_alpha,seq_alpha_step,alpha_decay,ppl_draft
BuddyMoE,0.750,1,0.9806,0.9806,0.969,7.431
BuddyMoE,0.750,2,0.9806,0.9740,0.969,7.431
BuddyMoE,0.750,3,0.9806,0.9743,0.969,7.431
BuddyMoE,0.750,4,0.9806,0.9657,0.969,7.431
BuddyMoE,0.750,5,0.9806,0.9692,0.969,7.431
BuddyMoE,0.750,6,0.9806,0.9681,0.969,7.431
BuddyMoE,0.750,7,0.9806,0.9710,0.969,7.431
BuddyMoE,0.750,8,0.9806,0.9504,0.969,7.431
BuddyMoE,0.500,1,0.9181,0.9181,0.975,8.377
BuddyMoE,0.500,2,0.9181,0.8952,0.975,8.377
BuddyMoE,0.500,3,0.9181,0.8982,0.975,8.377
BuddyMoE,0.500,4,0.9181,0.8915,0.975,8.377
BuddyMoE,0.500,5,0.9181,0.9086,0.975,8.377
BuddyMoE,0.500,6,0.9181,0.8660,0.975,8.377
BuddyMoE,0.500,7,0.9181,0.8813,0.975,8.377
BuddyMoE,0.500,8,0.9181,0.8954,0.975,8.377
BuddyMoE,0.250,1,0.6417,0.6417,1.058,14.341
BuddyMoE,0.250,2,0.6417,0.7321,1.058,14.341
BuddyMoE,0.250,3,0.6417,0.7000,1.058,14.341
BuddyMoE,0.250,4,0.6417,0.6925,1.058,14.341
BuddyMoE,0.250,5,0.6417,0.6699,1.058,14.341
BuddyMoE,0.250,6,0.6417,0.6533,1.058,14.341
BuddyMoE,0.250,7,0.6417,0.7397,1.058,14.341
BuddyMoE,0.250,8,0.6417,0.6789,1.058,14.341
BuddyMoE_rho3,0.750,1,0.9806,0.9806,0.969,7.431
BuddyMoE_rho3,0.750,2,0.9806,0.9740,0.969,7.431
BuddyMoE_rho3,0.750,3,0.9806,0.9743,0.969,7.431
BuddyMoE_rho3,0.750,4,0.9806,0.9657,0.969,7.431
BuddyMoE_rho3,0.750,5,0.9806,0.9692,0.969,7.431
BuddyMoE_rho3,0.750,6,0.9806,0.9681,0.969,7.431
BuddyMoE_rho3,0.750,7,0.9806,0.9710,0.969,7.431
BuddyMoE_rho3,0.750,8,0.9806,0.9504,0.969,7.431
BuddyMoE_rho3,0.500,1,0.9181,0.9181,0.975,8.359
BuddyMoE_rho3,0.500,2,0.9181,0.8955,0.975,8.359
BuddyMoE_rho3,0.500,3,0.9181,0.8978,0.975,8.359
BuddyMoE_rho3,0.500,4,0.9181,0.8918,0.975,8.359
BuddyMoE_rho3,0.500,5,0.9181,0.9096,0.975,8.359
BuddyMoE_rho3,0.500,6,0.9181,0.8665,0.975,8.359
BuddyMoE_rho3,0.500,7,0.9181,0.8822,0.975,8.359
BuddyMoE_rho3,0.500,8,0.9181,0.8951,0.975,8.359
BuddyMoE_rho3,0.250,1,0.6413,0.6413,1.067,14.124
BuddyMoE_rho3,0.250,2,0.6413,0.7136,1.067,14.124
BuddyMoE_rho3,0.250,3,0.6413,0.6844,1.067,14.124
BuddyMoE_rho3,0.250,4,0.6413,0.6963,1.067,14.124
BuddyMoE_rho3,0.250,5,0.6413,0.6890,1.067,14.124
BuddyMoE_rho3,0.250,6,0.6413,0.6541,1.067,14.124
BuddyMoE_rho3,0.250,7,0.6413,0.7156,1.067,14.124
