algorithm,cache_ratio,step,iso_alpha_mean,iso_alpha_std,seq_alpha_mean,seq_alpha_std,iso_total,seq_total,alpha_decay,iso_stop_rate,seq_stop_rate
SkipAll,0.500,1,0.9122,0.0727,0.9122,0.0727,0.6846,0.7289,0.6326,0.0000,0.0000
SkipAll,0.500,2,0.7115,0.2379,0.9159,0.1158,0.6846,0.7289,0.6326,0.0000,0.0000
SkipAll,0.500,3,0.6918,0.1927,0.8075,0.3223,0.6846,0.7289,0.6326,0.0000,0.0000
SkipAll,0.500,4,0.6851,0.2891,0.7525,0.3494,0.6846,0.7289,0.6326,0.0000,0.0000
SkipAll,0.500,5,0.6546,0.2851,0.6365,0.4398,0.6846,0.7289,0.6326,0.0000,0.0000
SkipAll,0.500,6,0.6012,0.2612,0.6519,0.4092,0.6846,0.7289,0.6326,0.0000,0.0000
SkipAll,0.500,7,0.6157,0.2971,0.5774,0.4516,0.6846,0.7289,0.6326,0.0000,0.0000
SkipAll,0.500,8,0.6050,0.2912,0.5771,0.4569,0.6846,0.7289,0.6326,0.0000,0.0000
SkipAll,0.250,1,0.6632,0.2452,0.6632,0.2452,0.5617,0.3572,0.3127,0.0000,0.0000
SkipAll,0.250,2,0.6321,0.2146,0.4753,0.3393,0.5617,0.3572,0.3127,0.0000,0.0000
SkipAll,0.250,3,0.5534,0.2792,0.4117,0.3698,0.5617,0.3572,0.3127,0.0000,0.0000
SkipAll,0.250,4,0.6074,0.2684,0.3690,0.3811,0.5617,0.3572,0.3127,0.0000,0.0000
SkipAll,0.250,5,0.5849,0.2688,0.2971,0.3554,0.5617,0.3572,0.3127,0.0000,0.0000
SkipAll,0.250,6,0.4741,0.2628,0.2311,0.3146,0.5617,0.3572,0.3127,0.0000,0.0000
SkipAll,0.250,7,0.5172,0.2768,0.2027,0.3153,0.5617,0.3572,0.3127,0.0000,0.0000
SkipAll,0.250,8,0.4615,0.2833,0.2074,0.3273,0.5617,0.3572,0.3127,0.0000,0.0000
