algorithm,cache_ratio,step,iso_alpha_mean,iso_alpha_std,seq_alpha_mean,seq_alpha_std,iso_total,seq_total,alpha_decay,iso_stop_rate,seq_stop_rate
SkipAll,0.750,1,0.9761,0.0275,0.9761,0.0275,0.6921,0.9576,0.9451,0.0000,0.0000
SkipAll,0.750,2,0.7151,0.2326,0.9729,0.0508,0.6921,0.9576,0.9451,0.0000,0.0000
SkipAll,0.750,3,0.6687,0.2218,0.9779,0.0405,0.6921,0.9576,0.9451,0.0000,0.0000
SkipAll,0.750,4,0.6884,0.2790,0.9751,0.0263,0.6921,0.9576,0.9451,0.0000,0.0000
SkipAll,0.750,5,0.6515,0.2857,0.9518,0.1679,0.6921,0.9576,0.9451,0.0000,0.0000
SkipAll,0.750,6,0.5954,0.2681,0.9457,0.1512,0.6921,0.9576,0.9451,0.0000,0.0000
SkipAll,0.750,7,0.6162,0.2886,0.9386,0.1781,0.6921,0.9576,0.9451,0.0000,0.0000
SkipAll,0.750,8,0.6252,0.2894,0.9226,0.2332,0.6921,0.9576,0.9451,0.0000,0.0000
RoundRobin,0.750,1,0.9769,0.0300,0.9769,0.0300,0.6903,0.9128,0.9113,0.0000,0.0000
RoundRobin,0.750,2,0.7136,0.2311,0.9732,0.0429,0.6903,0.9128,0.9113,0.0000,0.0000
RoundRobin,0.750,3,0.6659,0.2219,0.9147,0.2378,0.6903,0.9128,0.9113,0.0000,0.0000
RoundRobin,0.750,4,0.6835,0.2835,0.8821,0.2700,0.6903,0.9128,0.9113,0.0000,0.0000
RoundRobin,0.750,5,0.6498,0.2819,0.8870,0.2768,0.6903,0.9128,0.9113,0.0000,0.0000
RoundRobin,0.750,6,0.5971,0.2653,0.8937,0.2464,0.6903,0.9128,0.9113,0.0000,0.0000
RoundRobin,0.750,7,0.6197,0.2851,0.8842,0.2783,0.6903,0.9128,0.9113,0.0000,0.0000
RoundRobin,0.750,8,0.6156,0.2889,0.8903,0.2841,0.6903,0.9128,0.9113,0.0000,0.0000
Alg1_CosineOut,0.750,1,0.9763,0.0258,0.9763,0.0258,0.6928,0.8818,0.8473,0.0000,0.0000
Alg1_CosineOut,0.750,2,0.7172,0.2256,0.9774,0.0355,0.6928,0.8818,0.8473,0.0000,0.0000
Alg1_CosineOut,0.750,3,0.6708,0.2261,0.9155,0.2369,0.6928,0.8818,0.8473,0.0000,0.0000
Alg1_CosineOut,0.750,4,0.6913,0.2764,0.8717,0.2739,0.6928,0.8818,0.8473,0.0000,0.0000
Alg1_CosineOut,0.750,5,0.6494,0.2816,0.8260,0.3452,0.6928,0.8818,0.8473,0.0000,0.0000
Alg1_CosineOut,0.750,6,0.5989,0.2629,0.8398,0.3133,0.6928,0.8818,0.8473,0.0000,0.0000
Alg1_CosineOut,0.750,7,0.6210,0.2890,0.8202,0.3493,0.6928,0.8818,0.8473,0.0000,0.0000
Alg1_CosineOut,0.750,8,0.6173,0.2880,0.8273,0.3530,0.6928,0.8818,0.8473,0.0000,0.0000
Alg1_CoAct,0.750,1,0.9737,0.0247,0.9737,0.0247,0.6926,0.8707,0.7839,0.0000,0.0000
Alg1_CoAct,0.750,2,0.7164,0.2269,0.9721,0.0403,0.6926,0.8707,0.7839,0.0000,0.0000
Alg1_CoAct,0.750,3,0.6778,0.2149,0.9156,0.2372,0.6926,0.8707,0.7839,0.0000,0.0000
Alg1_CoAct,0.750,4,0.6951,0.2799,0.8892,0.2610,0.6926,0.8707,0.7839,0.0000,0.0000
Alg1_CoAct,0.750,5,0.6469,0.2854,0.8507,0.3099,0.6926,0.8707,0.7839,0.0000,0.0000
Alg1_CoAct,0.750,6,0.5979,0.2663,0.8145,0.3322,0.6926,0.8707,0.7839,0.0000,0.0000
Alg1_CoAct,0.750,7,0.6173,0.2895,0.7869,0.3754,0.6926,0.8707,0.7839,0.0000,0.0000
Alg1_CoAct,0.750,8,0.6160,0.2903,0.7633,0.4021,0.6926,0.8707,0.7839,0.0000,0.0000
Alg1_CondError,0.750,1,0.9766,0.0275,0.9766,0.0275,0.6917,0.8771,0.8182,0.0000,0.0000
Alg1_CondError,0.750,2,0.7208,0.2271,0.9745,0.0408,0.6917,0.8771,0.8182,0.0000,0.0000
Alg1_CondError,0.750,3,0.6663,0.2241,0.8870,0.2850,0.6917,0.8771,0.8182,0.0000,0.0000
Alg1_CondError,0.750,4,0.6896,0.2823,0.8603,0.2952,0.6917,0.8771,0.8182,0.0000,0.0000
Alg1_CondError,0.750,5,0.6511,0.2847,0.8510,0.3222,0.6917,0.8771,0.8182,0.0000,0.0000
Alg1_CondError,0.750,6,0.5966,0.2648,0.8511,0.3112,0.6917,0.8771,0.8182,0.0000,0.0000
Alg1_CondError,0.750,7,0.6162,0.2884,0.8177,0.3505,0.6917,0.8771,0.8182,0.0000,0.0000
Alg1_CondError,0.750,8,0.6161,0.2920,0.7990,0.3818,0.6917,0.8771,0.8182,0.0000,0.0000
Alg1_RouterCorr,0.750,1,0.9764,0.0273,0.9764,0.0273,0.6924,0.8922,0.8167,0.0000,0.0000
Alg1_RouterCorr,0.750,2,0.7117,0.2310,0.9708,0.0516,0.6924,0.8922,0.8167,0.0000,0.0000
Alg1_RouterCorr,0.750,3,0.6799,0.2164,0.9184,0.2389,0.6924,0.8922,0.8167,0.0000,0.0000
Alg1_RouterCorr,0.750,4,0.6885,0.2781,0.9140,0.2283,0.6924,0.8922,0.8167,0.0000,0.0000
Alg1_RouterCorr,0.750,5,0.6477,0.2833,0.8890,0.2801,0.6924,0.8922,0.8167,0.0000,0.0000
Alg1_RouterCorr,0.750,6,0.5992,0.2639,0.8553,0.3052,0.6924,0.8922,0.8167,0.0000,0.0000
Alg1_RouterCorr,0.750,7,0.6177,0.2902,0.8158,0.3551,0.6924,0.8922,0.8167,0.0000,0.0000
Alg1_RouterCorr,0.750,8,0.6180,0.2877,0.7975,0.3789,0.6924,0.8922,0.8167,0.0000,0.0000
W0_NoCorr,0.750,1,0.9766,0.0275,0.9766,0.0275,0.6917,0.8771,0.8182,0.0000,0.0000
W0_NoCorr,0.750,2,0.7208,0.2271,0.9745,0.0408,0.6917,0.8771,0.8182,0.0000,0.0000
W0_NoCorr,0.750,3,0.6663,0.2241,0.8870,0.2850,0.6917,0.8771,0.8182,0.0000,0.0000
W0_NoCorr,0.750,4,0.6896,0.2823,0.8603,0.2952,0.6917,0.8771,0.8182,0.0000,0.0000
W0_NoCorr,0.750,5,0.6511,0.2847,0.8510,0.3222,0.6917,0.8771,0.8182,0.0000,0.0000
W0_NoCorr,0.750,6,0.5966,0.2648,0.8511,0.3112,0.6917,0.8771,0.8182,0.0000,0.0000
W0_NoCorr,0.750,7,0.6162,0.2884,0.8177,0.3505,0.6917,0.8771,0.8182,0.0000,0.0000
W0_NoCorr,0.750,8,0.6161,0.2920,0.7990,0.3818,0.6917,0.8771,0.8182,0.0000,0.0000
W1_SimScale,0.750,1,0.9754,0.0336,0.9754,0.0336,0.6921,0.8697,0.7883,0.0000,0.0000
W1_SimScale,0.750,2,0.7200,0.2286,0.9754,0.0349,0.6921,0.8697,0.7883,0.0000,0.0000
W1_SimScale,0.750,3,0.6715,0.2168,0.8902,0.2859,0.6921,0.8697,0.7883,0.0000,0.0000
W1_SimScale,0.750,4,0.6875,0.2793,0.8835,0.2770,0.6921,0.8697,0.7883,0.0000,0.0000
W1_SimScale,0.750,5,0.6517,0.2847,0.8368,0.3397,0.6921,0.8697,0.7883,0.0000,0.0000
W1_SimScale,0.750,6,0.5946,0.2658,0.8320,0.3331,0.6921,0.8697,0.7883,0.0000,0.0000
W1_SimScale,0.750,7,0.6188,0.2879,0.7953,0.3780,0.6921,0.8697,0.7883,0.0000,0.0000
W1_SimScale,0.750,8,0.6171,0.2910,0.7689,0.4047,0.6921,0.8697,0.7883,0.0000,0.0000
W2_HitRenorm,0.750,1,0.9731,0.0361,0.9731,0.0361,0.6910,0.9340,0.9159,0.0000,0.0000
W2_HitRenorm,0.750,2,0.7151,0.2318,0.9720,0.0511,0.6910,0.9340,0.9159,0.0000,0.0000
W2_HitRenorm,0.750,3,0.6681,0.2216,0.9471,0.1746,0.6910,0.9340,0.9159,0.0000,0.0000
W2_HitRenorm,0.750,4,0.6886,0.2796,0.9447,0.1715,0.6910,0.9340,0.9159,0.0000,0.0000
W2_HitRenorm,0.750,5,0.6506,0.2863,0.9215,0.2357,0.6910,0.9340,0.9159,0.0000,0.0000
W2_HitRenorm,0.750,6,0.5943,0.2676,0.9145,0.2230,0.6910,0.9340,0.9159,0.0000,0.0000
W2_HitRenorm,0.750,7,0.6172,0.2885,0.9076,0.2412,0.6910,0.9340,0.9159,0.0000,0.0000
W2_HitRenorm,0.750,8,0.6213,0.2909,0.8913,0.2812,0.6910,0.9340,0.9159,0.0000,0.0000
W3_UniformRedist,0.750,1,0.9763,0.0320,0.9763,0.0320,0.6904,0.8988,0.8549,0.0000,0.0000
W3_UniformRedist,0.750,2,0.7167,0.2310,0.9707,0.0497,0.6904,0.8988,0.8549,0.0000,0.0000
W3_UniformRedist,0.750,3,0.6665,0.2189,0.9215,0.2395,0.6904,0.8988,0.8549,0.0000,0.0000
W3_UniformRedist,0.750,4,0.6909,0.2790,0.9144,0.2284,0.6904,0.8988,0.8549,0.0000,0.0000
W3_UniformRedist,0.750,5,0.6492,0.2871,0.8646,0.3210,0.6904,0.8988,0.8549,0.0000,0.0000
W3_UniformRedist,0.750,6,0.5941,0.2677,0.8579,0.3122,0.6904,0.8988,0.8549,0.0000,0.0000
W3_UniformRedist,0.750,7,0.6167,0.2897,0.8504,0.3227,0.6904,0.8988,0.8549,0.0000,0.0000
W3_UniformRedist,0.750,8,0.6131,0.2888,0.8347,0.3483,0.6904,0.8988,0.8549,0.0000,0.0000
W4_TopHitRedist,0.750,1,0.9672,0.0402,0.9672,0.0402,0.6895,0.8980,0.8551,0.0000,0.0000
W4_TopHitRedist,0.750,2,0.7148,0.2318,0.9652,0.0625,0.6895,0.8980,0.8551,0.0000,0.0000
W4_TopHitRedist,0.750,3,0.6744,0.2137,0.9181,0.2388,0.6895,0.8980,0.8551,0.0000,0.0000
W4_TopHitRedist,0.750,4,0.6844,0.2772,0.8864,0.2550,0.6895,0.8980,0.8551,0.0000,0.0000
W4_TopHitRedist,0.750,5,0.6409,0.2845,0.8989,0.2460,0.6895,0.8980,0.8551,0.0000,0.0000
W4_TopHitRedist,0.750,6,0.6024,0.2635,0.8777,0.2774,0.6895,0.8980,0.8551,0.0000,0.0000
W4_TopHitRedist,0.750,7,0.6141,0.2897,0.8433,0.3244,0.6895,0.8980,0.8551,0.0000,0.0000
W4_TopHitRedist,0.750,8,0.6178,0.2899,0.8271,0.3526,0.6895,0.8980,0.8551,0.0000,0.0000
Alg2_EntropyBias,0.750,1,0.9835,0.0165,0.9835,0.0165,0.6926,0.9133,0.8456,0.0000,0.0000
Alg2_EntropyBias,0.750,2,0.7155,0.2256,0.9787,0.0269,0.6926,0.9133,0.8456,0.0000,0.0000
Alg2_EntropyBias,0.750,3,0.6669,0.2221,0.9523,0.1728,0.6926,0.9133,0.8456,0.0000,0.0000
Alg2_EntropyBias,0.750,4,0.6854,0.2798,0.9114,0.2148,0.6926,0.9133,0.8456,0.0000,0.0000
Alg2_EntropyBias,0.750,5,0.6509,0.2845,0.8713,0.2948,0.6926,0.9133,0.8456,0.0000,0.0000
Alg2_EntropyBias,0.750,6,0.6031,0.2638,0.8998,0.2288,0.6926,0.9133,0.8456,0.0000,0.0000
Alg2_EntropyBias,0.750,7,0.6176,0.2864,0.8773,0.2876,0.6926,0.9133,0.8456,0.0000,0.0000
Alg2_EntropyBias,0.750,8,0.6181,0.2910,0.8317,0.3538,0.6926,0.9133,0.8456,0.0000,0.0000
Alg3_RouterMerge,0.750,1,0.9762,0.0278,0.9762,0.0278,0.6910,0.9280,0.9103,0.0000,0.0000
Alg3_RouterMerge,0.750,2,0.7131,0.2376,0.9707,0.0481,0.6910,0.9280,0.9103,0.0000,0.0000
Alg3_RouterMerge,0.750,3,0.6737,0.2148,0.9386,0.1869,0.6910,0.9280,0.9103,0.0000,0.0000
Alg3_RouterMerge,0.750,4,0.6859,0.2789,0.9224,0.2078,0.6910,0.9280,0.9103,0.0000,0.0000
Alg3_RouterMerge,0.750,5,0.6494,0.2859,0.9088,0.2404,0.6910,0.9280,0.9103,0.0000,0.0000
Alg3_RouterMerge,0.750,6,0.5934,0.2686,0.9117,0.2225,0.6910,0.9280,0.9103,0.0000,0.0000
Alg3_RouterMerge,0.750,7,0.6153,0.2889,0.9070,0.2404,0.6910,0.9280,0.9103,0.0000,0.0000
Alg3_RouterMerge,0.750,8,0.6212,0.2920,0.8887,0.2808,0.6910,0.9280,0.9103,0.0000,0.0000
Alg4_ErrorBudget,0.750,1,0.9719,0.0367,0.9719,0.0367,0.6918,0.9138,0.9136,0.0000,0.0000
Alg4_ErrorBudget,0.750,2,0.7158,0.2255,0.9723,0.0503,0.6918,0.9138,0.9136,0.0000,0.0000
Alg4_ErrorBudget,0.750,3,0.6691,0.2231,0.9170,0.2383,0.6918,0.9138,0.9136,0.0000,0.0000
Alg4_ErrorBudget,0.750,4,0.6916,0.2794,0.9087,0.2366,0.6918,0.9138,0.9136,0.0000,0.0000
Alg4_ErrorBudget,0.750,5,0.6500,0.2835,0.8849,0.2834,0.6918,0.9138,0.9136,0.0000,0.0000
Alg4_ErrorBudget,0.750,6,0.5967,0.2657,0.8839,0.2705,0.6918,0.9138,0.9136,0.0000,0.0000
