algorithm,cache_ratio,step,iso_alpha,seq_alpha_step,alpha_decay,ppl_draft
SkipAll,0.750,1,0.9817,0.9817,0.977,7.398
SkipAll,0.750,2,0.9817,0.9736,0.977,7.398
SkipAll,0.750,3,0.9817,0.9778,0.977,7.398
SkipAll,0.750,4,0.9817,0.9696,0.977,7.398
SkipAll,0.750,5,0.9817,0.9704,0.977,7.398
SkipAll,0.750,6,0.9817,0.9635,0.977,7.398
SkipAll,0.750,7,0.9817,0.9694,0.977,7.398
SkipAll,0.750,8,0.9817,0.9592,0.977,7.398
SkipAll,0.500,1,0.9332,0.9332,0.967,8.140
SkipAll,0.500,2,0.9332,0.9171,0.967,8.140
SkipAll,0.500,3,0.9332,0.8976,0.967,8.140
SkipAll,0.500,4,0.9332,0.8994,0.967,8.140
SkipAll,0.500,5,0.9332,0.8972,0.967,8.140
SkipAll,0.500,6,0.9332,0.8674,0.967,8.140
SkipAll,0.500,7,0.9332,0.9006,0.967,8.140
SkipAll,0.500,8,0.9332,0.9024,0.967,8.140
SkipAll,0.250,1,0.6510,0.6510,0.958,16.661
SkipAll,0.250,2,0.6510,0.7010,0.958,16.661
SkipAll,0.250,3,0.6510,0.6720,0.958,16.661
SkipAll,0.250,4,0.6510,0.6486,0.958,16.661
SkipAll,0.250,5,0.6510,0.5797,0.958,16.661
SkipAll,0.250,6,0.6510,0.5719,0.958,16.661
SkipAll,0.250,7,0.6510,0.6428,0.958,16.661
SkipAll,0.250,8,0.6510,0.6239,0.958,16.661
Alg2_v2,0.750,1,0.9810,0.9810,0.973,7.401
Alg2_v2,0.750,2,0.9810,0.9735,0.973,7.401
Alg2_v2,0.750,3,0.9810,0.9766,0.973,7.401
Alg2_v2,0.750,4,0.9810,0.9681,0.973,7.401
Alg2_v2,0.750,5,0.9810,0.9718,0.973,7.401
Alg2_v2,0.750,6,0.9810,0.9648,0.973,7.401
Alg2_v2,0.750,7,0.9810,0.9697,0.973,7.401
Alg2_v2,0.750,8,0.9810,0.9547,0.973,7.401
Alg2_v2,0.500,1,0.9308,0.9308,0.970,8.069
Alg2_v2,0.500,2,0.9308,0.9206,0.970,8.069
Alg2_v2,0.500,3,0.9308,0.8983,0.970,8.069
Alg2_v2,0.500,4,0.9308,0.9023,0.970,8.069
Alg2_v2,0.500,5,0.9308,0.9003,0.970,8.069
Alg2_v2,0.500,6,0.9308,0.8798,0.970,8.069
Alg2_v2,0.500,7,0.9308,0.8953,0.970,8.069
Alg2_v2,0.500,8,0.9308,0.9025,0.970,8.069
Alg2_v2,0.250,1,0.7560,0.7560,0.920,11.610
Alg2_v2,0.250,2,0.7560,0.7717,0.920,11.610
Alg2_v2,0.250,3,0.7560,0.7169,0.920,11.610
Alg2_v2,0.250,4,0.7560,0.7244,0.920,11.610
Alg2_v2,0.250,5,0.7560,0.6943,0.920,11.610
Alg2_v2,0.250,6,0.7560,0.7078,0.920,11.610
Alg2_v2,0.250,7,0.7560,0.7810,0.920,11.610
Alg2_v2,0.250,8,0.7560,0.6952,0.920,11.610
HybridCP_v2,0.750,1,0.9810,0.9810,0.974,7.405
HybridCP_v2,0.750,2,0.9810,0.9735,0.974,7.405
HybridCP_v2,0.750,3,0.9810,0.9766,0.974,7.405
HybridCP_v2,0.750,4,0.9810,0.9681,0.974,7.405
HybridCP_v2,0.750,5,0.9810,0.9718,0.974,7.405
HybridCP_v2,0.750,6,0.9810,0.9641,0.974,7.405
HybridCP_v2,0.750,7,0.9810,0.9700,0.974,7.405
HybridCP_v2,0.750,8,0.9810,0.9556,0.974,7.405
HybridCP_v2,0.500,1,0.9315,0.9315,0.970,8.075
HybridCP_v2,0.500,2,0.9315,0.9168,0.970,8.075
HybridCP_v2,0.500,3,0.9315,0.9010,0.970,8.075
HybridCP_v2,0.500,4,0.9315,0.8971,0.970,8.075
HybridCP_v2,0.500,5,0.9315,0.8999,0.970,8.075
HybridCP_v2,0.500,6,0.9315,0.8835,0.970,8.075
HybridCP_v2,0.500,7,0.9315,0.8996,0.970,8.075
HybridCP_v2,0.500,8,0.9315,0.9035,0.970,8.075
HybridCP_v2,0.250,1,0.6722,0.6722,1.009,14.185
HybridCP_v2,0.250,2,0.6722,0.7422,1.009,14.185
HybridCP_v2,0.250,3,0.6722,0.6766,1.009,14.185
HybridCP_v2,0.250,4,0.6722,0.6859,1.009,14.185
HybridCP_v2,0.250,5,0.6722,0.6641,1.009,14.185
HybridCP_v2,0.250,6,0.6722,0.6734,1.009,14.185
HybridCP_v2,0.250,7,0.6722,0.7499,1.009,14.185
HybridCP_v2,0.250,8,0.6722,0.6785,1.009,14.185
PostSub_v2,0.750,1,0.9814,0.9814,0.977,7.373
PostSub_v2,0.750,2,0.9814,0.9709,0.977,7.373
PostSub_v2,0.750,3,0.9814,0.9755,0.977,7.373
PostSub_v2,0.750,4,0.9814,0.9666,0.977,7.373
PostSub_v2,0.750,5,0.9814,0.9701,0.977,7.373
PostSub_v2,0.750,6,0.9814,0.9679,0.977,7.373
PostSub_v2,0.750,7,0.9814,0.9690,0.977,7.373
PostSub_v2,0.750,8,0.9814,0.9593,0.977,7.373
PostSub_v2,0.500,1,0.9319,0.9319,0.965,8.270
PostSub_v2,0.500,2,0.9319,0.9147,0.965,8.270
PostSub_v2,0.500,3,0.9319,0.8987,0.965,8.270
PostSub_v2,0.500,4,0.9319,0.8965,0.965,8.270
PostSub_v2,0.500,5,0.9319,0.9041,0.965,8.270
PostSub_v2,0.500,6,0.9319,0.8657,0.965,8.270
PostSub_v2,0.500,7,0.9319,0.9038,0.965,8.270
PostSub_v2,0.500,8,0.9319,0.8997,0.965,8.270
PostSub_v2,0.250,1,0.7154,0.7154,0.957,12.622
PostSub_v2,0.250,2,0.7154,0.7281,0.957,12.622
PostSub_v2,0.250,3,0.7154,0.6832,0.957,12.622
PostSub_v2,0.250,4,0.7154,0.6863,0.957,12.622
PostSub_v2,0.250,5,0.7154,0.6906,0.957,12.622
PostSub_v2,0.250,6,0.7154,0.6597,0.957,12.622
PostSub_v2,0.250,7,0.7154,0.7454,0.957,12.622
PostSub_v2,0.250,8,0.7154,0.6844,0.957,12.622
Alg2_PostSub,0.750,1,0.9810,0.9810,0.973,7.401
Alg2_PostSub,0.750,2,0.9810,0.9735,0.973,7.401
Alg2_PostSub,0.750,3,0.9810,0.9766,0.973,7.401
Alg2_PostSub,0.750,4,0.9810,0.9681,0.973,7.401
Alg2_PostSub,0.750,5,0.9810,0.9718,0.973,7.401
Alg2_PostSub,0.750,6,0.9810,0.9648,0.973,7.401
Alg2_PostSub,0.750,7,0.9810,0.9697,0.973,7.401
Alg2_PostSub,0.750,8,0.9810,0.9547,0.973,7.401
Alg2_PostSub,0.500,1,0.9308,0.9308,0.970,8.069
Alg2_PostSub,0.500,2,0.9308,0.9206,0.970,8.069
Alg2_PostSub,0.500,3,0.9308,0.8983,0.970,8.069
Alg2_PostSub,0.500,4,0.9308,0.9023,0.970,8.069
Alg2_PostSub,0.500,5,0.9308,0.9003,0.970,8.069
Alg2_PostSub,0.500,6,0.9308,0.8798,0.970,8.069
Alg2_PostSub,0.500,7,0.9308,0.8953,0.970,8.069
Alg2_PostSub,0.500,8,0.9308,0.9025,0.970,8.069
Alg2_PostSub,0.250,1,0.7560,0.7560,0.920,11.610
Alg2_PostSub,0.250,2,0.7560,0.7717,0.920,11.610
Alg2_PostSub,0.250,3,0.7560,0.7169,0.920,11.610
