epoch,train_loss,train_mse,train_log_mse,val_mse,val_mae,val_rmse,val_r2,val_corr,val_log_mae
1,0.25743247,0.06201302,0.78167779,0.04699767,0.14536287,0.21678946,0.34369447,0.65966468,0.34005255
2,0.16926505,0.03647584,0.53115685,0.03209756,0.11773182,0.17915793,0.55176909,0.75671117,0.28691983
3,0.13169233,0.02974689,0.40778178,0.03499636,0.12627824,0.18707313,0.51128848,0.76549997,0.30462468
4,0.11016733,0.02664563,0.33408680,0.03250704,0.11911656,0.18029708,0.54605095,0.76306038,0.28540465
5,0.09712755,0.02475313,0.28949768,0.03046753,0.11173568,0.17454951,0.57453188,0.76747162,0.26963320
6,0.08646296,0.02338103,0.25232768,0.03070451,0.11223572,0.17522702,0.57122261,0.76431726,0.27008736
7,0.07600186,0.02148422,0.21807056,0.03014987,0.10662447,0.17363718,0.57896790,0.77007911,0.26247513
8,0.06720503,0.01996317,0.18896744,0.03224364,0.11361196,0.17956513,0.54972924,0.76237447,0.27742791
9,0.05966808,0.01820904,0.16583614,0.03188680,0.10788047,0.17856876,0.55471231,0.77171913,0.27634224
10,0.05232805,0.01663648,0.14276625,0.03370891,0.11429880,0.18359986,0.52926725,0.76875528,0.28748286
11,0.04863476,0.01578092,0.13141534,0.03189469,0.11039715,0.17859084,0.55460218,0.77925912,0.27877417
12,0.04526955,0.01490384,0.12146282,0.03023120,0.10109851,0.17387121,0.57783223,0.77165919,0.25776604
13,0.04011779,0.01355965,0.10623254,0.03159546,0.10372992,0.17775112,0.55878077,0.76277916,0.26399678
14,0.03657294,0.01278366,0.09515712,0.03253474,0.10781067,0.18037389,0.54566406,0.77809598,0.28300816
15,0.03611379,0.01245227,0.09464610,0.02946615,0.10206036,0.17165706,0.58851588,0.77363824,0.25765756
16,0.03280094,0.01167022,0.08452289,0.03203639,0.10880076,0.17898712,0.55262335,0.77543920,0.27814400
17,0.02840712,0.01056354,0.07137431,0.03000013,0.09962697,0.17320545,0.58105902,0.77779106,0.26060086
18,0.02564387,0.00989937,0.06297800,0.02948726,0.10097577,0.17171855,0.58822101,0.78100426,0.25908926
19,0.02443990,0.00944235,0.05999022,0.02993674,0.09991404,0.17302237,0.58194421,0.77466000,0.25596905
20,0.02197965,0.00887309,0.05242627,0.02852846,0.09937827,0.16890371,0.60161029,0.78355566,0.25588179
21,0.02040451,0.00831560,0.04835567,0.03100218,0.09984366,0.17607437,0.56706569,0.76992399,0.25900209
22,0.01933526,0.00803473,0.04520212,0.02977483,0.09879462,0.17255385,0.58420520,0.77684767,0.25568771
23,0.01807545,0.00756726,0.04203274,0.02973278,0.10035614,0.17243196,0.58479240,0.77953981,0.25977063
24,0.01670928,0.00719605,0.03805293,0.03170296,0.10365513,0.17805324,0.55727961,0.77795894,0.27335867
25,0.01513080,0.00651255,0.03447301,0.03007514,0.09871242,0.17342187,0.58001145,0.77462322,0.25651315
26,0.01426788,0.00624246,0.03210167,0.02969244,0.09864108,0.17231494,0.58535578,0.77733616,0.25479841
27,0.01302441,0.00585098,0.02869370,0.03155146,0.10217861,0.17762731,0.55939520,0.77542942,0.26802152
28,0.01171873,0.00545967,0.02503624,0.03051025,0.09965594,0.17467185,0.57393529,0.77490893,0.25796789
29,0.01146692,0.00533804,0.02451550,0.03049707,0.10154424,0.17463411,0.57411937,0.77316341,0.25979310
30,0.01076451,0.00502040,0.02297642,0.03096401,0.10152358,0.17596593,0.56759879,0.77654630,0.26373824
31,0.00993854,0.00472485,0.02085476,0.03080465,0.09989280,0.17551255,0.56982409,0.77390564,0.26014230
32,0.00906721,0.00437107,0.01878455,0.03111516,0.10268563,0.17639491,0.56548793,0.77169553,0.26316199
33,0.00909845,0.00433809,0.01904141,0.03033511,0.09976846,0.17416978,0.57638107,0.77878409,0.25841236
34,0.00851897,0.00403166,0.01794925,0.03137919,0.10209815,0.17714171,0.56180098,0.77574425,0.26576146
35,0.00821723,0.00392798,0.01715700,0.03141688,0.10251210,0.17724808,0.56127456,0.77209069,0.26439306
36,0.00816429,0.00380949,0.01741919,0.03145643,0.10239333,0.17735959,0.56072234,0.76719723,0.26008758
37,0.00749994,0.00356200,0.01575179,0.03223806,0.10292343,0.17954959,0.54980717,0.77486436,0.26940453
38,0.00730196,0.00353785,0.01505646,0.03251653,0.10341910,0.18032341,0.54591835,0.76997664,0.26880136
39,0.00736946,0.00347469,0.01557910,0.03119746,0.10154165,0.17662804,0.56433865,0.77600967,0.26275367
40,0.00673531,0.00325537,0.01391977,0.03170175,0.10019033,0.17804985,0.55729652,0.77350117,0.26236701
41,0.00646977,0.00314975,0.01328008,0.03203203,0.10164843,0.17897494,0.55268427,0.76381962,0.26077506
42,0.00588283,0.00290021,0.01193051,0.03202201,0.10284859,0.17894696,0.55282411,0.76611334,0.26381457
43,0.00526943,0.00272025,0.01019671,0.03188779,0.10218321,0.17857153,0.55469847,0.76905439,0.26327083
44,0.00523540,0.00267425,0.01024460,0.03263439,0.10340405,0.18064992,0.54427247,0.77001540,0.26916450
45,0.00514692,0.00257485,0.01028829,0.03254770,0.10158788,0.18040980,0.54548313,0.76363369,0.26424929
46,0.00481608,0.00242803,0.00955218,0.03330218,0.10358053,0.18248884,0.53494710,0.76647117,0.27064294
47,0.00471142,0.00237199,0.00935773,0.03303067,0.10487095,0.18174343,0.53873854,0.76605839,0.26906791
48,0.00436670,0.00224302,0.00849474,0.03201346,0.10098403,0.17892306,0.55294355,0.76650993,0.26144758
49,0.00412716,0.00213318,0.00797593,0.03301167,0.10169838,0.18169115,0.53900385,0.76321162,0.26381165
50,0.00413554,0.00211809,0.00806980,0.03272635,0.10221208,0.18090427,0.54298824,0.76499433,0.26561019
